# Ultimate compression benchmark

## Results for examples/database.sql:

Tool                                    CS     CT    DT  Result
---------------------------------  -------  -----  ----  --------
cat (v8.32) (level 0)              2968086     11    12  Ok
brotli (v1.0.9) (level 0)          1054069     68    69  Ok
brotli (v1.0.9) (level 1)           920728     68    69  Ok
brotli (v1.0.9) (level 2)           882390    118    69  Ok
brotli (v1.0.9) (level 3)           917155    168    68  Ok
brotli (v1.0.9) (level 4)           946038    319    69  Ok
brotli (v1.0.9) (level 5)           832967    519    69  Ok
brotli (v1.0.9) (level 6)           814564    670    69  Ok
brotli (v1.0.9) (level 7)           798088    871    70  Ok
brotli (v1.0.9) (level 8)           791377   1072    69  Ok
brotli (v1.0.9) (level 9)           786348   1524    70  Ok
brotli (v1.0.9) (level 10)          631395   9348    69  Ok
brotli (v1.0.9) (level 11)          594148  22796    71  Ok
brotli (long) (v1.0.9) (level 0)   1054069     68    70  Ok
brotli (long) (v1.0.9) (level 1)    920728     69    69  Ok
brotli (long) (v1.0.9) (level 2)    882390    169    69  Ok
brotli (long) (v1.0.9) (level 3)    917155    168    69  Ok
brotli (long) (v1.0.9) (level 4)    946038    268    70  Ok
brotli (long) (v1.0.9) (level 5)    832967    570    69  Ok
brotli (long) (v1.0.9) (level 6)    814564    670    69  Ok
brotli (long) (v1.0.9) (level 7)    798088    820    69  Ok
brotli (long) (v1.0.9) (level 8)    791377   1071    69  Ok
brotli (long) (v1.0.9) (level 9)    786348   1622    37  Ok
brotli (long) (v1.0.9) (level 10)   631395   9751    68  Ok
brotli (long) (v1.0.9) (level 11)   594148  22284    69  Ok
bzip2 (v1.0.8) (level 1)            728749    619   320  Ok
bzip2 (v1.0.8) (level 2)            726193    622   320  Ok
bzip2 (v1.0.8) (level 3)            720014    619   370  Ok
bzip2 (v1.0.8) (level 4)            722606    670   370  Ok
bzip2 (v1.0.8) (level 5)            725035    672   370  Ok
bzip2 (v1.0.8) (level 6)            720815    670   370  Ok
bzip2 (v1.0.8) (level 7)            717863    669   370  Ok
bzip2 (v1.0.8) (level 8)            714898    671   370  Ok
bzip2 (v1.0.8) (level 9)            714393    670   370  Ok
gzip (v1.10) (level 1)             1065553    168   119  Ok
gzip (v1.10) (level 2)             1027243    220   120  Ok
gzip (v1.10) (level 3)              989439    270   121  Ok
gzip (v1.10) (level 4)              936356    271   122  Ok
gzip (v1.10) (level 5)              863350    421   119  Ok
gzip (v1.10) (level 6)              842220    569   120  Ok
gzip (v1.10) (level 7)              837640    673    70  Ok
gzip (v1.10) (level 8)              831319   1220    69  Ok
gzip (v1.10) (level 9)              830180   1673    70  Ok
lizard (v1.0.0) (level 10)         1511595     69    38  Ok
lizard (v1.0.0) (level 11)         1468351     69    38  Ok
lizard (v1.0.0) (level 12)         1279566    172    39  Ok
lizard (v1.0.0) (level 13)         1230200    220    38  Ok
lizard (v1.0.0) (level 14)         1191861    276    21  Ok
lizard (v1.0.0) (level 15)         1165338    271    21  Ok
lizard (v1.0.0) (level 16)         1125021    420    21  Ok
lizard (v1.0.0) (level 17)         1091438    930    21  Ok
lizard (v1.0.0) (level 18)         1079306   1873    21  Ok
lizard (v1.0.0) (level 19)         1075341   2077    21  Ok
lizard (v1.0.0) (level 20)         1480248     68    37  Ok
lizard (v1.0.0) (level 21)         1291570    118    20  Ok
lizard (v1.0.0) (level 22)         1232764    118    20  Ok
lizard (v1.0.0) (level 23)         1201996    269    20  Ok
lizard (v1.0.0) (level 24)         1136739    420    20  Ok
lizard (v1.0.0) (level 25)         1074669    670    20  Ok
lizard (v1.0.0) (level 26)         1023237   2425    21  Ok
lizard (v1.0.0) (level 27)          968193   3479    20  Ok
lizard (v1.0.0) (level 28)          967663   3529    20  Ok
lizard (v1.0.0) (level 29)          967663   3629    20  Ok
lizard (v1.0.0) (level 30)          989723     68    37  Ok
lizard (v1.0.0) (level 31)          990139     68    37  Ok
lizard (v1.0.0) (level 32)          878522    118    36  Ok
lizard (v1.0.0) (level 33)          879370    118    37  Ok
lizard (v1.0.0) (level 34)          859783    168    36  Ok
lizard (v1.0.0) (level 35)          845927    218    36  Ok
lizard (v1.0.0) (level 36)          835695    219    37  Ok
lizard (v1.0.0) (level 37)          849354    369    37  Ok
lizard (v1.0.0) (level 38)          832092    870    37  Ok
lizard (v1.0.0) (level 39)          843764   2275    43  Ok
lizard (v1.0.0) (level 40)         1083817     70    39  Ok
lizard (v1.0.0) (level 41)          942901    120    38  Ok
lizard (v1.0.0) (level 42)          912398    169    37  Ok
lizard (v1.0.0) (level 43)          850939    420    39  Ok
lizard (v1.0.0) (level 44)          814970    570    39  Ok
lizard (v1.0.0) (level 45)          799564    973    38  Ok
lizard (v1.0.0) (level 46)          807521   1576    37  Ok
lizard (v1.0.0) (level 47)          812140   2728    37  Ok
lizard (v1.0.0) (level 48)          761614   3580    37  Ok
lizard (v1.0.0) (level 49)          761564   3780    37  Ok
lz4 (v1.9.3) (level 1)             1502835     36    20  Ok
lz4 (v1.9.3) (level 2)             1502835     36    20  Ok
lz4 (v1.9.3) (level 3)             1175733    168    21  Ok
lz4 (v1.9.3) (level 4)             1141490    218    20  Ok
lz4 (v1.9.3) (level 5)             1117372    319    20  Ok
lz4 (v1.9.3) (level 6)             1102186    419    20  Ok
lz4 (v1.9.3) (level 7)             1094264    519    20  Ok
lz4 (v1.9.3) (level 8)             1090559    670    20  Ok
lz4 (v1.9.3) (level 9)             1089080    770    20  Ok
lz4 (v1.9.3) (level 10)            1081585   1171    20  Ok
lz4 (v1.9.3) (level 11)            1075061   2174    21  Ok
lz4 (v1.9.3) (level 12)            1074335   1372    20  Ok
lzf (vNone) (level 1)              1429482     68    36  Ok
lzf (vNone) (level 2)              1429482     68    36  Ok
lzf (vNone) (level 3)              1429482     68    36  Ok
lzf (vNone) (level 4)              1429482     68    37  Ok
lzf (vNone) (level 5)              1429482     68    37  Ok
lzf (vNone) (level 6)              1429482     68    37  Ok
lzf (vNone) (level 7)              1429482     70    37  Ok
lzf (vNone) (level 8)              1429482     68    37  Ok
lzf (vNone) (level 9)              1429482     68    37  Ok
lzf (vNone) (level 10)             1429482     68    37  Ok
lzf (vNone) (level 11)             1429482     68    37  Ok
lzf (vNone) (level 12)             1429482     68    38  Ok
lzma (v5.2.5) (level 1)             756117    722   220  Ok
lzma (v5.2.5) (level 2)             728901   1121   169  Ok
lzma (v5.2.5) (level 3)             718537   1573   169  Ok
lzma (v5.2.5) (level 4)             539774   3982   169  Ok
lzma (v5.2.5) (level 5)             529750   4281   169  Ok
lzma (v5.2.5) (level 6)             528663   4633   169  Ok
lzma (v5.2.5) (level 7)             528663   4533   169  Ok
lzma (v5.2.5) (level 8)             528663   4483   169  Ok
lzma (v5.2.5) (level 9)             528663   4583   169  Ok
lzop (v1.04) (level 1)             1384104     35    36  Ok
lzop (v1.04) (level 2)             1380833     35    36  Ok
lzop (v1.04) (level 3)             1380833     35    36  Ok
lzop (v1.04) (level 4)             1380833     68    37  Ok
lzop (v1.04) (level 5)             1380833     35    36  Ok
lzop (v1.04) (level 6)             1380833     35    36  Ok
lzop (v1.04) (level 7)             1124444    971    37  Ok
lzop (v1.04) (level 8)             1110887   3128    37  Ok
lzop (v1.04) (level 9)             1110620   3327    37  Ok
lzturbo (v1.2) (level 10)          1514940     68    20  Ok
lzturbo (v1.2) (level 11)          1370383    118    20  Ok
lzturbo (v1.2) (level 12)          1311026    168    20  Ok
lzturbo (v1.2) (level 19)          1074688   3478    20  Ok
lzturbo (v1.2) (level 20)          1367863     68    37  Ok
lzturbo (v1.2) (level 21)          1243687    118    37  Ok
lzturbo (v1.2) (level 22)          1212817    269    37  Ok
lzturbo (v1.2) (level 29)           976829   4081    37  Ok
lzturbo (v1.2) (level 30)          1001661    118    68  Ok
lzturbo (v1.2) (level 31)           918006    118    69  Ok
lzturbo (v1.2) (level 32)           836039    369    69  Ok
lzturbo (v1.2) (level 39)           624009   4332    36  Ok
lzturbo (v1.2) (level 49)           525753   5986   169  Ok
xz (v5.2.5) (level 1)               756280    720   219  Ok
xz (v5.2.5) (level 2)               729056   1122   219  Ok
xz (v5.2.5) (level 3)               718688   1573   169  Ok
xz (v5.2.5) (level 4)               539900   4081   169  Ok
xz (v5.2.5) (level 5)               529872   4282   169  Ok
xz (v5.2.5) (level 6)               528788   4533   169  Ok
xz (v5.2.5) (level 7)               528788   4533   219  Ok
xz (v5.2.5) (level 8)               528788   4534   170  Ok
xz (v5.2.5) (level 9)               528788   4533   169  Ok
zstd (v1.4.9) (level 1)             840224     68    37  Ok
zstd (v1.4.9) (level 2)             904574    118    37  Ok
zstd (v1.4.9) (level 3)             906460    118    37  Ok
zstd (v1.4.9) (level 4)             910619    118    36  Ok
zstd (v1.4.9) (level 5)             923059    169    36  Ok
zstd (v1.4.9) (level 6)             912103    168    36  Ok
zstd (v1.4.9) (level 7)             850145    218    37  Ok
zstd (v1.4.9) (level 8)             792523    319    37  Ok
zstd (v1.4.9) (level 9)             784820    419    37  Ok
zstd (v1.4.9) (level 10)            778438    469    37  Ok
zstd (v1.4.9) (level 11)            774739    570    37  Ok
zstd (v1.4.9) (level 12)            769314    871    37  Ok
zstd (v1.4.9) (level 13)            754552   1222    37  Ok
zstd (v1.4.9) (level 14)            750893   1323    36  Ok
zstd (v1.4.9) (level 15)            741018   1673    36  Ok
zstd (v1.4.9) (level 16)            647120   2878    37  Ok
zstd (v1.4.9) (level 17)            646867   3229    37  Ok
zstd (v1.4.9) (level 18)            648383   4182    36  Ok
zstd (v1.4.9) (level 19)            648066   4432    37  Ok
zstd (long) (v1.4.9) (level 1)      837553    118    37  Ok
zstd (long) (v1.4.9) (level 2)      900810    118    37  Ok
zstd (long) (v1.4.9) (level 3)      906459    118    37  Ok
zstd (long) (v1.4.9) (level 4)      917089    118    37  Ok
zstd (long) (v1.4.9) (level 5)      930129    168    37  Ok
zstd (long) (v1.4.9) (level 6)      909550    219    37  Ok
zstd (long) (v1.4.9) (level 7)      848359    268    37  Ok
zstd (long) (v1.4.9) (level 8)      791184    319    37  Ok
zstd (long) (v1.4.9) (level 9)      783758    419    37  Ok
zstd (long) (v1.4.9) (level 10)     777929    520    37  Ok
zstd (long) (v1.4.9) (level 11)     774233    620    36  Ok
zstd (long) (v1.4.9) (level 12)     769053    821    37  Ok
zstd (long) (v1.4.9) (level 13)     754470   1222    37  Ok
zstd (long) (v1.4.9) (level 14)     750864   1322    37  Ok
zstd (long) (v1.4.9) (level 15)     741032   1573    37  Ok
zstd (long) (v1.4.9) (level 16)     647092   2878    36  Ok
zstd (long) (v1.4.9) (level 17)     646786   3280    37  Ok
zstd (long) (v1.4.9) (level 18)     648414   4182    37  Ok
zstd (long) (v1.4.9) (level 19)     648085   4433    36  Ok
zstd (ultra) (v1.4.9) (level 1)     837553    118    37  Ok
zstd (ultra) (v1.4.9) (level 2)     900810    118    37  Ok
zstd (ultra) (v1.4.9) (level 3)     906459    118    37  Ok
zstd (ultra) (v1.4.9) (level 4)     917089    118    36  Ok
zstd (ultra) (v1.4.9) (level 5)     930129    168    36  Ok
zstd (ultra) (v1.4.9) (level 6)     909550    218    37  Ok
zstd (ultra) (v1.4.9) (level 7)     848359    269    37  Ok
zstd (ultra) (v1.4.9) (level 8)     791184    319    37  Ok
zstd (ultra) (v1.4.9) (level 9)     783758    419    36  Ok
zstd (ultra) (v1.4.9) (level 10)    777929    520    37  Ok
zstd (ultra) (v1.4.9) (level 11)    774233    570    37  Ok
zstd (ultra) (v1.4.9) (level 12)    769053    821    36  Ok
zstd (ultra) (v1.4.9) (level 13)    754470   1222    38  Ok
zstd (ultra) (v1.4.9) (level 14)    750864   1323    37  Ok
zstd (ultra) (v1.4.9) (level 15)    741032   1623    37  Ok
zstd (ultra) (v1.4.9) (level 16)    647092   2978    36  Ok
zstd (ultra) (v1.4.9) (level 17)    646786   3329    37  Ok
zstd (ultra) (v1.4.9) (level 18)    648414   4182    37  Ok
zstd (ultra) (v1.4.9) (level 19)    648085   4382    37  Ok
zstd (ultra) (v1.4.9) (level 20)    648085   4433    37  Ok
zstd (ultra) (v1.4.9) (level 21)    648055   4634    37  Ok
zstd (ultra) (v1.4.9) (level 22)    647963   5234    39  Ok
zstd (fast) (v1.4.9) (level 1)     1207042     68    37  Ok
zstd (fast) (v1.4.9) (level 2)     1188317     68    37  Ok
zstd (fast) (v1.4.9) (level 3)     1206384     68    20  Ok
zstd (fast) (v1.4.9) (level 4)     1206900     68    20  Ok
zstd (fast) (v1.4.9) (level 5)     1261763     68    21  Ok
zstd (fast) (v1.4.9) (level 6)     1386560     68    20  Ok
zstd (fast) (v1.4.9) (level 7)     1495910     68    20  Ok
zstd (fast) (v1.4.9) (level 8)     1602333     68    20  Ok
zstd (fast) (v1.4.9) (level 9)     1831207     68    20  Ok
zstd (fast) (v1.4.9) (level 10)    1844919     68    20  Ok
zstd (fast) (v1.4.9) (level 11)    2002612     68    20  Ok
zstd (fast) (v1.4.9) (level 12)    2187633     68    20  Ok
zstd (fast) (v1.4.9) (level 13)    2351426     36    21  Ok
zstd (fast) (v1.4.9) (level 14)    2528522     36    20  Ok
zstd (fast) (v1.4.9) (level 15)    2675344     36    21  Ok
zstd (fast) (v1.4.9) (level 16)    2364938     36    21  Ok
zstd (fast) (v1.4.9) (level 17)    2219359     36    21  Ok
zstd (fast) (v1.4.9) (level 18)    2147113     36    21  Ok
zstd (fast) (v1.4.9) (level 19)    2151702     36    20  Ok
zstd (fast) (v1.4.9) (level 50)    2618401     36    21  Ok
zstd (fast) (v1.4.9) (level 100)   2748102     36    21  Ok
zstd (fast) (v1.4.9) (level 1000)  2968165     20    21  Ok

## Results for examples/database.csv:

Tool                                     CS      CT    DT  Result
---------------------------------  --------  ------  ----  --------
cat (v8.32) (level 0)              59392986     119   120  Ok
